((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 95), ('LinearRegression', 9.707365623151235, 0.9775830503547072, 0.007822331032238878))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 96), ('LinearRegression', 15.396677050496649, 0.967632742206723, 0.047725780861146684))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 97), ('LinearRegression', 14.734085232258803, 0.980779542049327, 0.10998006931226394))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 98), ('LinearRegression', 13.318770196157205, 0.942000211458368, 0.13445998588051053))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 99), ('LinearRegression', 38.56707082753562, 0.9735324008333066, 0.07194644879100674))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 100), ('LinearRegression', 11.449508227731537, 0.9233640901825099, 0.21327464828930875))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 101), ('LinearRegression', -4.981684048889269, 0.9824418275414835, 0.021778756154860066))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 102), ('LinearRegression', 77.0518985219095, 0.9715575656362462, 0.01084070785579344))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 103), ('LinearRegression', 5.6489560401233145, 0.9791275399377523, 0.1324293421072375))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 104), ('LinearRegression', 56.63633072774391, 0.9741543673759459, 0.018178190484826103))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 105), ('LinearRegression', -2.6709164271519086, 0.9692761746907348, 0.04154877151984875))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 106), ('LinearRegression', -19.416091224664665, 0.9752950002646866, 0.10312644352262387))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 107), ('LinearRegression', -6.500573018593477, 0.9128081251036771, 0.2064459125867004))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 108), ('LinearRegression', 2.093155911938351, 0.9825905325185816, 0.022771700768242184))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 109), ('LinearRegression', 13.496704582722947, 0.9565040750055048, 0.10497539127139394))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 110), ('LinearRegression', 167.5630460325966, 0.9236832825429182, 0.1809336918554582))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 111), ('LinearRegression', 24.162117400233488, 0.9822467191082406, 0.01873532545628145))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 112), ('LinearRegression', 22.31170572443276, 0.9634893689575351, 0.054379978895665045))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 113), ('LinearRegression', 1.6324029663378723, 0.9926942860215234, 0.05388570151366918))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 114), ('LinearRegression', 132.78146089569753, 0.9778856012874038, 0.009104603750156716))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 115), ('LinearRegression', -7.004922901196594, 0.9772135311715985, 0.068441273928839))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 116), ('LinearRegression', 28.808246364790058, 0.9818594778052226, 0.029297890621931045))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 117), ('LinearRegression', 10.46073143592686, 0.99367228532996, 0.01908111638573094))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 118), ('LinearRegression', -1.248349533653919, 0.9803178143047012, 0.06501346093619362))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 119), ('LinearRegression', 30.41002477158265, 0.975636573953654, 0.08151485165064737))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 120), ('LinearRegression', 36.442701328746764, 0.9723988738575728, 0.11280092751493935))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 121), ('LinearRegression', 36.48393165837307, 0.9254295254469156, 0.01692235796524936))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 122), ('LinearRegression', 10.872132991732688, 0.9457173788831683, 0.09244288109596283))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 123), ('LinearRegression', 8.615569169380667, 0.9644897804291057, 0.008251911933805431))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 124), ('LinearRegression', -3.483294808469206, 0.9722254227100514, 0.008630559546829673))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 125), ('LinearRegression', 31.523253943023356, 0.9681919877694493, 0.05901381758420415))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 126), ('LinearRegression', 29.683841786580647, 0.9811290256857097, 0.04562584221135717))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 127), ('LinearRegression', 16.33905186079818, 0.9505568175694815, 0.08255499370440383))
