dtime,time,open,high,low,close,vwap,volume,count
2019-03-04,1551657600,3338.4,3353.7,3245.2,3269.6,3280.1,5154.40940544,16915
2019-03-03,1551571200,3361.7,3367.2,3317.1,3338.4,3347.4,1362.96225005,9168
2019-03-02,1551484800,3354.3,3370.7,3315.4,3361.8,3353.6,1584.38065052,10061
2019-03-01,1551398400,3340.7,3381.4,3336.8,3354.3,3359.0,3319.75656635,12272
2019-02-28,1551312000,3339.4,3420.0,3308.4,3340.7,3355.1,5373.52081225,19193
2019-02-27,1551225600,3334.0,3363.0,3223.9,3339.5,3324.3,5315.83177572,17341
2019-02-26,1551139200,3363.8,3372.5,3321.1,3334.0,3344.4,3664.88765982,12011
2019-02-25,1551052800,3298.1,3405.5,3295.8,3363.8,3349.9,4998.71883743,16601
2019-02-24,1550966400,3629.2,3690.0,3290.0,3299.1,3449.1,8826.08174918,26034
2019-02-23,1550880000,3479.1,3665.0,3454.0,3629.1,3559.3,5081.72196197,20923
2019-02-22,1550793600,3437.9,3488.0,3430.0,3479.1,3464.5,4543.06625831,17281
2019-02-21,1550707200,3478.5,3517.9,3415.5,3437.9,3448.5,3924.08257746,13504
2019-02-20,1550620800,3436.0,3492.9,3415.6,3478.5,3458.6,4004.60171718,13721
2019-02-19,1550534400,3419.8,3529.7,3395.3,3436.0,3461.9,7328.07543679,23278
2019-02-18,1550448000,3213.4,3465.1,3209.9,3419.8,3344.7,8853.22800446,28180
2019-02-17,1550361600,3177.5,3246.0,3159.0,3213.4,3191.5,2352.71559447,13026
2019-02-16,1550275200,3167.3,3199.7,3163.7,3177.5,3183.1,1859.0843411,11504
2019-02-15,1550188800,3155.1,3209.9,3152.8,3166.0,3172.2,4082.59779412,13643
2019-02-14,1550102400,3178.9,3187.2,3150.0,3155.0,3166.7,3705.08886174,13124
2019-02-13,1550016000,3171.9,3198.0,3162.0,3179.2,3174.1,3581.49706294,12953
2019-02-12,1549929600,3187.0,3198.7,3145.7,3172.2,3173.5,4064.79126345,13994
2019-02-11,1549843200,3225.4,3227.9,3166.6,3186.9,3187.5,3847.95187547,15673
2019-02-10,1549756800,3201.5,3229.0,3160.1,3225.4,3189.2,1688.77785209,9632
2019-02-09,1549670400,3194.7,3215.0,3176.6,3202.6,3196.2,2081.94865465,10337
2019-02-08,1549584000,2963.2,3269.9,2950.5,3194.7,3092.8,8093.66846115,21430
2019-02-07,1549497600,2966.0,2990.1,2952.0,2962.5,2969.3,2961.14735799,10420
2019-02-06,1549411200,3008.5,3021.0,2913.4,2966.0,2961.9,4946.8106771,15702
2019-02-05,1549324800,2989.5,3010.0,2976.2,3008.5,2999.0,3637.55029918,11478
2019-02-04,1549238400,2983.4,3000.0,2963.1,2989.5,2986.8,3582.51130962,12301
2019-02-03,1549152000,3028.6,3032.3,2959.4,2983.4,2987.3,1643.38809714,8950
2019-02-02,1549065600,3001.1,3044.9,2982.5,3028.6,3001.6,2138.63385821,9348
2019-02-01,1548979200,2979.2,3014.1,2951.5,3001.1,2984.9,4066.03297181,12973
2019-01-31,1548892800,2998.4,3025.1,2964.0,2978.7,2982.3,3881.09687978,13877
