((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 6), (6.098898648677058, 0.9312178165406941, 5.329459883594878))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 7), (6.1034261916277694, 0.9218191757063151, 6.089726534184576))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 8), (7.707018088131623, 0.9348903656207413, 5.411895989481041))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 9), (8.42604375711951, 0.9320055108481974, 3.8154959107922353))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 10), (7.667548372853711, 0.9164790982320894, 4.905665770328202))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 11), (6.862978125315809, 0.9242773689724828, 6.248875214177159))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 12), (8.028297197381645, 0.94942869597388, 4.0837268844739905))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 13), (8.275282491082557, 0.9479396629686369, 2.412518976364969))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 14), (6.646189277434635, 0.9390230359367533, 8.261321321965664))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 15), (5.216658948450445, 0.9462618976173431, 4.598630681907288))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 16), (5.325583082845547, 0.9424031923074816, 2.4712862885017612))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 17), (3.902782455732355, 0.9667167412932715, 3.298801815698283))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 18), (3.1423429677572603, 0.9643122736902734, 4.498402785841496))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 19), (2.174815929369135, 0.9667241052613399, 3.0127107111618785))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 20, 20), (0.0, 1.0, 7.624670126041075e-15))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 1), (3.3571901717381216, 0.9018675358262542, 8.498456395674703))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 2), (3.3183618231119323, 0.9120354645527862, 5.986130322326222))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 3), (4.6186570862413205, 0.918292595143534, 3.3234014665715987))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 4), (5.592514012414764, 0.9326536434491463, 4.071329597063922))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 5), (5.880851624839442, 0.9355676530937349, 4.203316908088789))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 6), (5.175964180325114, 0.9248017993115221, 4.356665319840732))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 7), (4.938268048545865, 0.9231531733891685, 5.185091078010745))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 8), (5.890574961800469, 0.9157653413777913, 4.0406914212663905))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 9), (5.215446406284465, 0.9017956975691921, 6.468121648395457))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 10), (5.377318406488801, 0.9210490928327735, 5.762575002839048))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 11), (5.172309440864144, 0.9154132926002202, 5.339593168804694))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 12), (5.878297079320596, 0.9518455805835992, 3.7153478993344895))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 13), (5.744971577346134, 0.9426061448419004, 5.88887264717258))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 14), (4.236858266619359, 0.975001551338555, 3.4781112221219366))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 15), (5.991298103327636, 0.9802845990594061, 2.667623370779905))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 16), (5.632665264415583, 0.9818129496064659, 1.6909791294046053))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 17), (3.475515633148797, 0.9792791024555645, 2.402251587686199))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 18), (3.8295586211152903, 0.9782969377608847, 3.0047412489579237))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 19), (2.633638782750194, 0.9876384899382608, 0.9864021354525265))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 20), (4.537079503177793, 0.983385007285496, 2.286348358896799))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 21, 21), (0.0, 1.0, 2.0234480757608252e-13))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 1), (4.5717466630041415, 0.8930985776840394, 8.720977282888427))
((LinearRegression(copy_X=True, fit_intercept=True, n_jobs=None, normalize=False), 100, 22, 2), (7.143875568751938, 0.8896300184155284, 6.13392986627781))
